Name,Rank,Fire Department,Date of Death,Location on Memorial
Bernard D. Scannell,Firefighter/Fire Police,Waterloo Fire Department,09/21/2000,19 Bottom
Bernard E. Bauman ,Firefighter ,Laurelton Fire Department ,08/27/1952,  3 Top
Bernard E. Meany,Firefighter,New York City Fire Department,02/19/1952,14 Top
Bernard Goldman,Firefighter,New York City Fire Department,01/30/1962,12 Bottom
"Bernard J. Callahan, Jr.",Firefighter,White Plains Fire Department,07/31/1954,14 Top
Bernard J. Spillman,Lieutenant,Rochester Fire Department,09/12/1986,11 Top
"Bernard McGuire, Jr.",Firefighter,Brighton Fire Department,01/01/1947,15 Top
Bernardo F. Carlock,Deputy Chief,New York City Fire Department,11/29/1930,  4 Top
Bernard O’Kane,Firefighter,New York City Fire Department,12/27/1927,  5 Top
Bernard P. McGreavy,Firefighter,New York City Fire Department,06/15/1944,16 Top
"Bernard P. McManus, II",Firefighter,New York City Fire Department,07/25/1969,  9 Bottom
Bernard Tully,Firefighter,New York City Fire Department,04/17/1957,13 Top
Berthold H. Lorenz,Firefighter,Valhalla Fire Department,03/25/1952,  7 Bottom
Bertram Butler,Firefighter,New York City Fire Department,09/17/1941,17 Top
Beverly H. Pratt,Firefighter,Port Henry Fire Department,05/17/1956,21 Bottom
Bradley P. Golden,Firefighter,Lairdsville Fire Department,09/25/2001,15 Top
Brereton E. Johnson,Firefighter,New York City Fire Department,08/13/1913,  4 Bottom
Bret E. Neff,Assistant Chief,Harford Fire Company,02/23/2004,  2 Top
Brian Cannizzaro,Firefighter,New York City Fire Department,09/11/2001,  7 Top
Brian C. Hickey,Captain,New York City Fire Department,09/11/2001,  6 Top
Brian C. Malloy ,Firefighter ,New York City Fire Department ,03/28/2011,21 Bottom
Brian D. Fahey,Firefighter,New York City Fire Department,06/17/2001,  4 Top
"Brian D. Myers, Sr.",Firefighter,Schuylerville Fire Department,01/01/1997,10 Top
Brian E. Bilcher,Firefighter,New York City Fire Department,09/11/2001,11 Bottom
Brian E. Sweeney,Firefighter,New York City Fire Department,09/11/2001,  5 Top
Brian G. Ahearn,Lieutenant,New York City Fire Department,09/11/2001,14 Bottom
Brian G. McAleese,Firefighter,New York City Fire Department,09/11/2001,  7 Top
Brian J. Masterson ,Firefighter ,New York City Fire Department ,01/22/2017,  7 Bottom
Brian T. Dillon,Firefighter,Buffalo Fire Department,01/28/1991,11 Top
Brownie Mach,Firefighter,Lackawanna Fire Department,04/09/1980,  9 Top
Bruce A. Rhinehart,Lieutenant,Jamestown Fire Department,10/27/1990,11 Top
Bruce B. Baldwin,Firefighter,Albion Fire Department,11/06/1974,20 Bottom
Bruce H. Gary,Firefighter,New York City Fire Department,09/11/2001,  3 Top
Bruce M. Foss ,Firefighter ,New York City Fire Department ,06/14/2008,  1 Top
Burton Seymour,Firefighter,Ilion Fire Department,04/21/1963,  7 Bottom
Burton Winspear,Firefighter,Buffalo Fire Department,01/07/1975,  8 Top
Caleb F. Underhill,Firefighter,White Plains Fire Department,02/03/1907,  6 Bottom
"Calixto Anaya, Jr.",Firefighter,New York City Fire Department,09/11/2001,  4 Bottom
Carl Aschenbrenner,Chief,Buchanan Fire Department,01/01/1961,13 Top
Carl Bauer,Firefighter,Arlington Fire Department,07/03/1974,  8 Top
Carl Capobianco ,Firefighter ,New York City Fire Department ,07/29/2011,  4 Bottom
Carl Edmonds,Firefighter,Harford Fire Department,05/04/1965,  7 Top
Carl E. Molinaro,Firefighter,New York City Fire Department,09/11/2001,  4 Top
Carl F. Asaro,Firefighter,New York City Fire Department,09/11/2001,  2 Top
Carl H. Bischoff,Firefighter,New York City Fire Department,07/05/1941,17 Top
Carl Herer,Firefighter,New York City Fire Department,10/10/1967,  9 Bottom
Carl H. Lucas,Captain,Watertown Fire Department,07/07/1955,  7 Bottom
Carl J. Bedigian,Firefighter,New York City Fire Department,09/11/2001,  4 Top
Carl Lee,Firefighter,New York City Fire Department,10/17/1966,11 Bottom
Carlos R. Lillo,Paramedic,New York City Fire Department,09/11/2001,  2 Top
Carlton A. Bouck,Firefighter,Bridgewater Fire Department,11/05/1966,  3 Top
Carl V. Bini,Firefighter,New York City Fire Department,09/11/2001,  1 Bottom
Carmelo J. Puccia,Firefighter,New York City Fire Department,01/06/1970,  8 Bottom
